slang_term,lifecycle_phase,posts,avg_virality_score,avg_sentiment_score,avg_days_since_emergence
demure,peak,1053,0.015701804368471035,0.3589810066476733,89.24311490978158
demure,growing,852,0.011605633802816902,0.3712535211267606,37.751173708920184
demure,legacy,623,0.0016227929373996792,0.34485553772070626,327.12841091492777
era,declining,5455,0.00938295142071494,0.2478295142071494,617.4654445462878
era,growing,4110,0.010273722627737226,0.27951922141119223,183.78126520681266
era,peak,2890,0.01569757785467128,0.2619166089965398,381.1681660899654
era,legacy,614,0.001739413680781759,0.21930293159609118,902.7214983713355
fanum tax,declining,4000,0.006582,0.3007165,482.03775
fanum tax,growing,3324,0.007413357400722021,0.34507400722021664,147.7421780986763
fanum tax,peak,2326,0.010072656921754084,0.31102966466036114,302.2665520206363
fanum tax,legacy,585,0.0010769230769230769,0.3138205128205128,721.3076923076923
gaslighting,growing,7992,0.010783783783783784,-0.4444508258258258,348.75713213213214
gaslighting,declining,5296,0.009867447129909366,-0.4442018504531722,889.5702416918429
gaslighting,peak,2864,0.01532646648044693,-0.46268156424581003,657.040153631285
gaslighting,legacy,614,0.001723127035830619,-0.4310114006514658,1177.6791530944624
girl dinner,declining,1541,0.009202465931213497,0.40733744321868914,183.82673588578845
girl dinner,growing,1214,0.010504118616144975,0.44739950576606263,55.40939044481054
girl dinner,peak,833,0.016990396158463386,0.43770948379351743,114.74309723889556
girl dinner,legacy,631,0.0016782884310618065,0.4168415213946117,326.65768621236134
girl math,declining,1885,0.00930238726790451,0.29862758620689656,201.40212201591513
girl math,growing,1199,0.010080066722268558,0.340023352793995,55.45371142618849
girl math,peak,1023,0.016852394916911043,0.32543792766373414,119.56304985337243
girl math,legacy,597,0.0016867671691792297,0.27312227805695144,355.3182579564489
gyatt,declining,4437,0.006988731124633761,0.2682265043948614,500.7372098264593
gyatt,growing,3202,0.007595877576514678,0.31476514678326045,146.9940662086196
gyatt,peak,2344,0.011476962457337885,0.2911924061433447,307.26023890784984
gyatt,legacy,585,0.0011606837606837608,0.25787350427350425,750.9931623931624
hits different,declining,5968,0.0071159517426273465,0.1528664544235925,652.904490616622
hits different,growing,3771,0.008863431450543623,0.193149297268629,195.30124635375233
hits different,peak,3247,0.011019710502001848,0.17081305820757622,391.20449645826915
hits different,legacy,634,0.001167192429022082,0.17493533123028393,964.9794952681387
ick,declining,5060,0.01021205533596838,0.05696600790513834,629.8822134387352
ick,growing,4494,0.011198041833555852,0.0850287049399199,203.181797952826
ick,peak,2769,0.015579992777175875,0.07432647165041531,407.1650415312387
ick,legacy,588,0.0018622448979591837,0.05794897959183673,907.0102040816327
its giving,declining,5309,0.00896553023168205,0.17627236767752874,617.1248822753814
its giving,growing,4146,0.01079570670525808,0.22336324167872648,185.71080559575495
its giving,peak,2937,0.015357848144365,0.18744433094994892,383.2114402451481
its giving,legacy,569,0.0017644991212653778,0.15524428822495606,907.1845342706503
looksmaxxing,growing,5333,0.009281267579223701,0.36646202887680485,239.0009375585974
looksmaxxing,peak,2644,0.012591906202723147,0.3479905446293495,470.0881240544629
looksmaxxing,declining,1830,0.009748087431693989,0.3395934426229508,589.5808743169399
main character,declining,5414,0.009746213520502402,0.24021056520132988,708.6847063169561
main character,growing,5365,0.011366076421248835,0.27950195712954334,239.27660764212487
main character,peak,2946,0.014710115410726409,0.2552213170400543,472.7932790224033
main character,legacy,599,0.0017028380634390651,0.2718881469115192,995.1736227045075
mewing,growing,4228,0.010518211920529801,0.3768266319772942,184.89191106906338
mewing,declining,3828,0.010249477533960293,0.3388364681295716,540.0846394984326
mewing,peak,2375,0.015538526315789475,0.34755073684210525,368.3545263157895
mid,declining,5548,0.006578226387887527,-0.348376171593367,727.3460706560923
mid,growing,5425,0.007468387096774194,-0.347923133640553,241.35907834101383
mid,peak,3058,0.01121026814911707,-0.3610176586003924,477.75506867233486
mid,legacy,611,0.0013011456628477906,-0.3057364975450082,1026.8297872340424
no cap,declining,6933,0.007366508005192558,0.23408538872061158,831.2648204240588
no cap,growing,3783,0.009873645255088553,0.28076790906687815,320.61379857256145
no cap,peak,3774,0.011917329093799682,0.26847191308956014,526.2697403285639
no cap,legacy,617,0.0012204213938411669,0.1941134521880065,1184.0551053484603
ohio,growing,5458,0.010474349578600219,0.34286386954928544,239.77867350677903
ohio,declining,3209,0.009407603614833282,0.31921533187909007,578.6216889996883
ohio,peak,1664,0.014752403846153846,0.32794591346153845,439.39122596153845
ohio,legacy,581,0.0017452667814113598,0.3031635111876076,783.9655765920826
periodt,declining,4708,0.007663126593033136,0.2437175021240442,583.2816482582838
periodt,peak,2601,0.011907727797001154,0.2669484813533256,373.69204152249137
periodt,growing,1125,0.011659555555555557,0.2777475555555556,274.61066666666665
periodt,legacy,606,0.0011716171617161715,0.28252310231023103,847.3828382838284
rent free,declining,6595,0.007250341167551176,0.14367566338134952,658.0750568612585
rent free,growing,3750,0.008132533333333334,0.1908098666666667,166.392
rent free,peak,3458,0.012944187391555813,0.17003412377096586,370.1203007518797
rent free,legacy,598,0.0011923076923076922,0.171128762541806,991.4030100334448
rizz,growing,6973,0.010746020364262154,0.31043998279076435,313.53391653520725
rizz,declining,5970,0.010136850921273033,0.26807236180904526,865.1608040201005
rizz,peak,3180,0.015227987421383647,0.2931012578616352,601.933962264151
rizz,legacy,659,0.00178907435508346,0.2980364188163885,1176.7602427921092
sheesh,growing,3329,0.01079273054971463,0.30427786121958544,146.2670471613097
sheesh,declining,3112,0.009321979434447302,0.2676188946015424,426.0417737789203
sheesh,peak,1706,0.014477139507620165,0.2967514654161782,288.29015240328255
sheesh,legacy,564,0.0016418439716312056,0.29017198581560283,631.2535460992908
sigma,growing,8401,0.009127008689441734,0.27161933103201996,370.8008570408285
sigma,declining,4292,0.008474603914259086,0.24002842497670085,888.8814072693383
sigma,peak,2937,0.012521280217909431,0.25618624446714333,687.9455226421519
simp,declining,6068,0.00717798286090969,-0.3461705669083718,624.0355965721819
simp,peak,3223,0.010823456407074154,-0.35308563450201674,360.3177164132795
simp,growing,2173,0.00992038656235619,-0.3569130234698573,213.83294983893236
simp,legacy,626,0.0011884984025559106,-0.2713546325878594,937.6629392971246
skibidi,growing,5773,0.008864368612506496,0.28345141174432703,261.78936428200245
skibidi,declining,4417,0.00799909440796921,0.2363660855784469,685.0070183382386
skibidi,peak,2245,0.01302316258351893,0.25676570155902,490.0953229398664
skibidi,legacy,495,0.0016040404040404042,0.22842222222222222,924.030303030303
slaps,declining,6215,0.007037329042638777,0.4345353177795656,976.5407884151247
slaps,peak,3417,0.011601697395376061,0.45022651448639156,700.7720222417325
slaps,growing,639,0.013300469483568077,0.4726541471048514,594.0845070422536
slaps,legacy,601,0.0011530782029950085,0.43549584026622296,1303.477537437604
slay,growing,8317,0.010531080918600458,0.47074714440302995,367.3720091379103
slay,declining,6558,0.009493900579444953,0.43710414760597743,997.3432448917353
slay,peak,3552,0.0156875,0.4630819256756757,703.6402027027027
slay,legacy,577,0.001587521663778163,0.44672790294627385,1334.0329289428075
snatched,growing,6247,0.009573555306547143,0.36537153833840247,276.16071714422924
snatched,declining,5418,0.008520856404577334,0.3254348468069398,771.8320413436693
snatched,peak,2932,0.012825716234652113,0.3370051159618008,533.4024556616644
snatched,legacy,604,0.001423841059602649,0.3676473509933775,1054.6043046357615
touch grass,declining,4471,0.007082084544844554,-0.344919257436815,500.12815924849025
touch grass,growing,3211,0.008192463407038306,-0.35016318903768295,147.18561195889131
touch grass,peak,2438,0.011458982772764562,-0.3462608695652174,306.37489745693193
touch grass,legacy,637,0.0011868131868131868,-0.33744270015698585,748.5871271585557
understood the assignment,declining,5268,0.007383637053910402,0.4440690964312833,556.4595671981776
understood the assignment,growing,3336,0.007919064748201438,0.4657757793764988,147.5773381294964
understood the assignment,peak,2919,0.011566632408359026,0.44957656731757456,318.9116135662898
understood the assignment,legacy,615,0.0012552845528455284,0.43453983739837404,841.5170731707317
unhinged,declining,4806,0.0067858926342072405,-0.003181856013316688,611.2915106117354
unhinged,growing,4525,0.00799889502762431,0.03859116022099447,204.5571270718232
unhinged,peak,2559,0.010648690894880812,0.005129347401328644,402.63032434544743
unhinged,legacy,608,0.0012532894736842104,-0.011259868421052631,872.358552631579
valid,growing,5795,0.007999654874892148,0.46778723037100944,259.0612597066437
valid,declining,4382,0.006809447740757644,0.439184390689183,682.4502510269283
valid,peak,2303,0.013999131567520626,0.45263178462874515,490.3217542336083
valid,legacy,589,0.0010984719864176571,0.4359219015280136,933.7521222410866
very mindful,declining,1840,0.009267934782608697,0.2984141304347826,170.64456521739132
very mindful,peak,1002,0.018338323353293412,0.3319291417165669,88.98902195608783
very mindful,growing,843,0.011134045077105574,0.3442099644128114,37.74614472123369
very mindful,legacy,601,0.0017204658901830284,0.26945257903494174,324.324459234609
vibe check,declining,5080,0.009870866141732283,0.20870846456692915,476.7027559055118
vibe check,peak,2743,0.015000729128691213,0.2262712358731316,255.62340503098798
vibe check,growing,1569,0.01327023581899299,0.24308221797323137,138.23072020395156
vibe check,legacy,602,0.0016196013289036546,0.2082408637873754,751.8405315614618
yapping,growing,5430,0.01078195211786372,0.011930939226519336,241.2305709023941
yapping,declining,3268,0.010966034271725827,-0.005384332925336598,633.1597307221542
yapping,peak,2707,0.01455264130033247,-0.007979682305134836,470.29220539342447
